,ID,Aatish,BBQ District,Chef Bill Kim’s,Fresh Fare,Main Street Poké,Pizza & Parm Shop,Sol Toro,"Starbucks, Purdue Memorial",Sushi Boss,Walk On’s Sports Bistreaux,8 Eleven Modern Bistro,Leaps Coffee and Artisan Pastries,Boiler Up Bar,Au Bon Pain — at the Wilmeth Active Learning Center (WALC),Catalyst Café — at Wetherill chemistry building,The Bistro — at Rawls Hall,Continuum Café — at Lynn Hall,Così — at Honors College,Boiler Bistro — at Marriott Hall,Fuel — at the Recreation Sports Center,John Purdue Room — at Marriott Hall,LavAzza — at Marriott Hall,Port — at Lawson Computer Science Building,Undergrounds — at Hicks Undergraduate Library,Venture Café — at Burton D. Morgan Center,Earhart Dining Court,Ford Dining Court,Hillenbrand Dining Court,Wiley Dining Court,Windsor Dining Court,Cary Knight Spot Grill,Harrison Grill,Starbucks on Third — at Third Street Suites,Unnamed: 36
0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5322085889570554,0.0,-0.5322085889570554,0.0,0.0,0.0,0.0,0.0
1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5322085889570554,0.46779141104294464,0.0,1.4677914110429446,0.0,0.0,-1.5322085889570554,0.0,0.0,0.0,-1.5322085889570554,0.0,0.0,0.0,0.0,-2.5322085889570554,0.0,0.0,-0.5322085889570554,-0.5322085889570554,-1.5322085889570554,-0.5322085889570554,-1.5322085889570554,-1.5322085889570554,0.0,-1.5322085889570554,0.0
2,39,0.46779141104294464,-1.5322085889570554,-2.5322085889570554,-1.5322085889570554,-0.5322085889570554,-1.5322085889570554,-1.5322085889570554,-2.5322085889570554,0.46779141104294464,-1.5322085889570554,-1.5322085889570554,-2.5322085889570554,-1.5322085889570554,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,0.46779141104294464,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,-1.5322085889570554,-0.5322085889570554,-1.5322085889570554,0.46779141104294464,0.46779141104294464,-1.5322085889570554,0.0
3,33,0.0,-1.5322085889570554,0.0,0.0,0.0,0.0,0.0,-0.5322085889570554,0.0,0.0,0.46779141104294464,0.46779141104294464,0.0,-1.5322085889570554,0.0,0.0,0.0,0.0,0.0,-0.5322085889570554,0.0,0.0,0.0,0.0,0.0,-0.5322085889570554,-0.5322085889570554,0.46779141104294464,0.46779141104294464,-1.5322085889570554,-2.5322085889570554,0.0,-0.5322085889570554,0.0
4,30,0.46779141104294464,-0.5322085889570554,-1.5322085889570554,-1.5322085889570554,-0.5322085889570554,-1.5322085889570554,0.0,-1.5322085889570554,-0.5322085889570554,0.46779141104294464,0.46779141104294464,0.46779141104294464,0.46779141104294464,-0.5322085889570554,-1.5322085889570554,-2.5322085889570554,0.0,-1.5322085889570554,-0.5322085889570554,0.0,0.0,0.46779141104294464,0.46779141104294464,0.0,0.0,-0.5322085889570554,0.46779141104294464,-1.5322085889570554,0.46779141104294464,-0.5322085889570554,0.0,0.0,-1.5322085889570554,0.0
5,17,0.46779141104294464,-1.5322085889570554,-2.5322085889570554,0.0,0.0,-1.5322085889570554,-0.5322085889570554,0.46779141104294464,0.0,-1.5322085889570554,-1.5322085889570554,0.0,0.0,0.46779141104294464,0.0,0.0,0.0,0.46779141104294464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46779141104294464,-1.5322085889570554,-0.5322085889570554,-0.5322085889570554,0.46779141104294464,0.0,-0.5322085889570554,0.46779141104294464,0.0
6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5322085889570554,-0.5322085889570554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5322085889570554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46779141104294464,0.0,0.46779141104294464,0.0,0.0,0.0,-0.5322085889570554,-1.5322085889570554,0.0
7,16,0.46779141104294464,-0.5322085889570554,-1.5322085889570554,-0.5322085889570554,0.0,-2.5322085889570554,-0.5322085889570554,0.0,0.46779141104294464,0.46779141104294464,1.4677914110429446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46779141104294464,0.0,0.0,0.0,0.0,0.0,-0.5322085889570554,-1.5322085889570554,-1.5322085889570554,-0.5322085889570554,-1.5322085889570554,0.46779141104294464,0.0,-0.5322085889570554,0.0
8,6,-1.5322085889570554,-2.5322085889570554,-1.5322085889570554,0.0,-0.5322085889570554,0.46779141104294464,0.0,1.4677914110429446,-0.5322085889570554,0.0,0.0,0.0,0.0,1.4677914110429446,0.0,0.0,0.0,-0.5322085889570554,0.0,0.46779141104294464,0.0,0.0,0.0,0.0,0.0,-1.5322085889570554,0.0,-1.5322085889570554,0.0,-0.5322085889570554,0.0,-1.5322085889570554,1.4677914110429446,0.0
9,32,0.0,-0.5322085889570554,0.0,0.0,0.0,0.0,0.0,-1.5322085889570554,-0.5322085889570554,0.0,0.0,0.0,0.0,-0.5322085889570554,0.0,0.0,0.0,-1.5322085889570554,0.0,0.0,0.0,0.46779141104294464,-0.5322085889570554,0.0,0.0,-0.5322085889570554,-0.5322085889570554,-0.5322085889570554,0.46779141104294464,0.46779141104294464,0.0,0.0,0.0,0.0
